Date,Day,Month,Year,Species,Trap,Latitude,Longitude,Station,NumMosquitos,WnvPresent
2007-05-29,29,5,2007,CULEX PIPIENS,T096,41.731922,-87.677512,2,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,2,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,1,2,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,2,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,2,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,1,1,0
2007-05-29,29,5,2007,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,1,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T002,41.95469,-87.800991,1,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T007,41.994991,-87.769279,1,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T015,41.974089,-87.824812,1,4,0
2007-05-29,29,5,2007,CULEX RESTUANS,T045,41.9216,-87.666455,1,2,0
2007-05-29,29,5,2007,CULEX RESTUANS,T046,41.891118,-87.654491,2,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T048,41.867108,-87.654224,2,2,0
2007-05-29,29,5,2007,CULEX RESTUANS,T049,41.896282,-87.655232,2,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T054,41.921965,-87.632085,1,3,0
2007-05-29,29,5,2007,CULEX RESTUANS,T086,41.688324,-87.676709,2,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T091,41.862292,-87.64886,2,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T094,41.720848,-87.666014,2,3,0
2007-05-29,29,5,2007,CULEX RESTUANS,T096,41.731922,-87.677512,2,5,0
2007-05-29,29,5,2007,CULEX RESTUANS,T129,41.891126,-87.61156,2,2,0
2007-05-29,29,5,2007,CULEX RESTUANS,T153,41.907645,-87.760886,1,1,0
2007-05-29,29,5,2007,CULEX RESTUANS,T159,41.732984,-87.649642,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS,T002,41.95469,-87.800991,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS,T045,41.9216,-87.666455,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS,T048,41.867108,-87.654224,2,2,0
2007-06-05,5,6,2007,CULEX PIPIENS,T096,41.731922,-87.677512,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS,T135,41.662014,-87.724608,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,3,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T031,41.801498,-87.763416,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,2,2,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,2,2,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,1,2,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,1,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,2,3,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T162,41.725517,-87.614258,2,1,0
2007-06-05,5,6,2007,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T002,41.95469,-87.800991,1,5,0
2007-06-05,5,6,2007,CULEX RESTUANS,T009,41.981964,-87.812827,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T011,41.944869,-87.832763,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T015,41.974089,-87.824812,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T016,42.011601,-87.811506,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T019,41.94983,-87.698457,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T025,41.979243,-87.750938,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T028,41.986921,-87.689778,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T033,41.906638,-87.701431,1,3,0
2007-06-05,5,6,2007,CULEX RESTUANS,T045,41.9216,-87.666455,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T046,41.891118,-87.654491,2,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T048,41.867108,-87.654224,2,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T049,41.896282,-87.655232,2,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T050,41.919343,-87.694259,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T054,41.921965,-87.632085,1,3,0
2007-06-05,5,6,2007,CULEX RESTUANS,T086,41.688324,-87.676709,2,4,0
2007-06-05,5,6,2007,CULEX RESTUANS,T089,41.723195,-87.64997,2,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T090,41.868077,-87.666901,2,7,0
2007-06-05,5,6,2007,CULEX RESTUANS,T096,41.731922,-87.677512,2,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T135,41.662014,-87.724608,2,4,0
2007-06-05,5,6,2007,CULEX RESTUANS,T141,41.961743,-87.76007,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T142,41.953067,-87.776792,1,3,0
2007-06-05,5,6,2007,CULEX RESTUANS,T143,41.999129,-87.795585,1,9,0
2007-06-05,5,6,2007,CULEX RESTUANS,T145,41.878114,-87.629798,2,3,0
2007-06-05,5,6,2007,CULEX RESTUANS,T146,41.958271,-87.702575,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T147,41.932094,-87.700117,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T150,42.006858,-87.675919,1,2,0
2007-06-05,5,6,2007,CULEX RESTUANS,T151,41.916265,-87.800515,1,10,0
2007-06-05,5,6,2007,CULEX RESTUANS,T152,41.846075,-87.716277,2,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T153,41.907645,-87.760886,1,3,0
2007-06-05,5,6,2007,CULEX RESTUANS,T154,41.918705,-87.752329,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T158,41.682587,-87.707973,2,8,0
2007-06-05,5,6,2007,CULEX RESTUANS,T159,41.732984,-87.649642,2,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T218,41.948167,-87.730698,1,1,0
2007-06-05,5,6,2007,CULEX RESTUANS,T220,41.963976,-87.69181,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS,T088,41.869107,-87.696293,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS,T090,41.868077,-87.666901,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS,T135,41.662014,-87.724608,2,6,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,1,2,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,1,2,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,1,2,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,1,2,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T040,41.852652,-87.719887,2,5,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,2,2,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,2,10,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,2,20,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,1,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,1,2,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,1,3,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,2,1,0
2007-06-26,26,6,2007,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,2,3,0
2007-06-26,26,6,2007,CULEX RESTUANS,T002,41.95469,-87.800991,1,4,0
2007-06-26,26,6,2007,CULEX RESTUANS,T003,41.964242,-87.757639,1,2,0
2007-06-26,26,6,2007,CULEX RESTUANS,T006,41.990284,-87.797127,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T007,41.994991,-87.769279,1,4,0
2007-06-26,26,6,2007,CULEX RESTUANS,T008,42.008314,-87.777921,1,2,0
2007-06-26,26,6,2007,CULEX RESTUANS,T011,41.944869,-87.832763,1,4,0
2007-06-26,26,6,2007,CULEX RESTUANS,T015,41.974089,-87.824812,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T016,42.011601,-87.811506,1,2,0
2007-06-26,26,6,2007,CULEX RESTUANS,T019,41.94983,-87.698457,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T028,41.986921,-87.689778,1,9,0
2007-06-26,26,6,2007,CULEX RESTUANS,T033,41.906638,-87.701431,1,3,0
2007-06-26,26,6,2007,CULEX RESTUANS,T034,41.843811,-87.686763,2,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T037,41.921177,-87.79518,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T040,41.852652,-87.719887,2,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T043,41.857402,-87.694991,2,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T045,41.9216,-87.666455,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T046,41.891118,-87.654491,2,6,0
2007-06-26,26,6,2007,CULEX RESTUANS,T047,41.868142,-87.696269,2,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T049,41.896282,-87.655232,2,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T050,41.919343,-87.694259,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T085,41.721474,-87.648064,2,2,0
2007-06-26,26,6,2007,CULEX RESTUANS,T086,41.688324,-87.676709,2,2,0
2007-06-26,26,6,2007,CULEX RESTUANS,T090,41.868077,-87.666901,2,19,0
2007-06-26,26,6,2007,CULEX RESTUANS,T096,41.731922,-87.677512,2,5,0
2007-06-26,26,6,2007,CULEX RESTUANS,T129,41.891126,-87.61156,2,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T135,41.662014,-87.724608,2,25,0
2007-06-26,26,6,2007,CULEX RESTUANS,T141,41.961743,-87.76007,1,3,0
2007-06-26,26,6,2007,CULEX RESTUANS,T142,41.953067,-87.776792,1,4,0
2007-06-26,26,6,2007,CULEX RESTUANS,T143,41.999129,-87.795585,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T145,41.878114,-87.629798,2,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T146,41.958271,-87.702575,1,6,0
2007-06-26,26,6,2007,CULEX RESTUANS,T147,41.932094,-87.700117,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T148,42.01743,-87.687769,1,2,0
2007-06-26,26,6,2007,CULEX RESTUANS,T150,42.006858,-87.675919,1,2,0
2007-06-26,26,6,2007,CULEX RESTUANS,T151,41.916265,-87.800515,1,6,0
2007-06-26,26,6,2007,CULEX RESTUANS,T158,41.682587,-87.707973,2,4,0
2007-06-26,26,6,2007,CULEX RESTUANS,T161,41.719059,-87.675088,2,5,0
2007-06-26,26,6,2007,CULEX RESTUANS,T219,41.966987,-87.674677,1,1,0
2007-06-26,26,6,2007,CULEX RESTUANS,T220,41.963976,-87.69181,1,1,0
2007-06-26,26,6,2007,CULEX SALINARIUS,T002,41.95469,-87.800991,1,1,0
2007-06-29,29,6,2007,CULEX PIPIENS,T031,41.801498,-87.763416,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS,T085,41.721474,-87.648064,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS,T086,41.688324,-87.676709,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS,T090,41.868077,-87.666901,2,3,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,2,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,1,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,1,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,1,2,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,1,2,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T030,41.89923,-87.716788,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,2,2,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,1,3,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T084,41.692555,-87.598865,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,2,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T144,41.94016,-87.794896,1,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,1,2,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,1,1,0
2007-06-29,29,6,2007,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.688267,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T006,41.990284,-87.797127,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T014,41.970248,-87.787992,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T015,41.974089,-87.824812,1,2,0
2007-06-29,29,6,2007,CULEX RESTUANS,T018,42.010412,-87.66214,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T028,41.986921,-87.689778,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T030,41.89923,-87.716788,2,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T043,41.857402,-87.694991,2,3,0
2007-06-29,29,6,2007,CULEX RESTUANS,T046,41.891118,-87.654491,2,2,0
2007-06-29,29,6,2007,CULEX RESTUANS,T084,41.692555,-87.598865,2,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T086,41.688324,-87.676709,2,2,0
2007-06-29,29,6,2007,CULEX RESTUANS,T089,41.723195,-87.64997,2,2,0
2007-06-29,29,6,2007,CULEX RESTUANS,T090,41.868077,-87.666901,2,6,0
2007-06-29,29,6,2007,CULEX RESTUANS,T096,41.731922,-87.677512,2,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T135,41.662014,-87.724608,2,3,0
2007-06-29,29,6,2007,CULEX RESTUANS,T141,41.961743,-87.76007,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T142,41.953067,-87.776792,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T143,41.999129,-87.795585,1,3,0
2007-06-29,29,6,2007,CULEX RESTUANS,T145,41.878114,-87.629798,2,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T146,41.958271,-87.702575,1,2,0
2007-06-29,29,6,2007,CULEX RESTUANS,T148,42.01743,-87.687769,1,2,0
2007-06-29,29,6,2007,CULEX RESTUANS,T150,42.006858,-87.675919,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T151,41.916265,-87.800515,1,5,0
2007-06-29,29,6,2007,CULEX RESTUANS,T153,41.907645,-87.760886,1,1,0
2007-06-29,29,6,2007,CULEX RESTUANS,T158,41.682587,-87.707973,2,6,0
2007-06-29,29,6,2007,CULEX RESTUANS,T218,41.948167,-87.730698,1,5,0
2007-07-02,2,7,2007,CULEX PIPIENS,T028,41.986921,-87.689778,1,1,0
2007-07-02,2,7,2007,CULEX PIPIENS,T096,41.731922,-87.677512,2,3,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,3,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T005,41.942114,-87.776385,1,3,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,1,4,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T008,42.008314,-87.777921,1,4,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,1,6,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,1,6,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T014,41.970248,-87.787992,1,5,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,3,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T017,41.960616,-87.777189,1,1,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T018,42.010412,-87.66214,1,1,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,1,1,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T030,41.89923,-87.716788,2,3,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T037,41.921177,-87.79518,1,1,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,2,5,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T044,41.883284,-87.705085,2,2,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,2,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,2,3,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,2,4,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,2,1,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,1,2,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,2,2,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,2,2,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T088,41.869107,-87.696293,2,1,0
2007-07-02,2,7,2007,CULEX PIPIENS/RESTUANS,T089,41.723195,-87.64997,2,1,0
