Date,Station,Latitude,Longitude,Tmax,Tmin,Tavg,RH,DewPoint,WetBulb,Heat,Cool,PrecipTotal,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-01,1,41.995,-87.933,83.0,50.0,67.0,55.55555555555554,51.0,56.0,0.0,2.0,0.0,29.82,1.7,27.0,9.2
2007-05-01,2,41.786,-87.752,84.0,52.0,68.0,52.77777777777778,51.0,57.0,0.0,3.0,0.0,29.82,2.7,25.0,9.6
2007-05-02,1,41.995,-87.933,59.0,42.0,51.0,75.0,42.0,47.0,14.0,0.0,0.0,30.09,13.0,4.0,13.4
2007-05-02,2,41.786,-87.752,60.0,43.0,52.0,72.22222222222223,42.0,47.0,13.0,0.0,0.0,30.08,13.3,2.0,13.4
2007-05-03,1,41.995,-87.933,66.0,46.0,56.0,55.55555555555556,40.0,48.0,9.0,0.0,0.0,30.12,11.7,7.0,11.9
2007-05-03,2,41.786,-87.752,67.0,48.0,58.0,50.0,40.0,50.0,7.0,0.0,0.0,30.12,12.9,6.0,13.2
2007-05-04,1,41.995,-87.933,66.0,49.0,58.0,52.77777777777778,41.0,50.0,7.0,0.0,0.005,30.05,10.4,8.0,10.8
2007-05-04,2,41.786,-87.752,78.0,51.0,64.0,38.888888888888886,42.0,50.0,1.0,0.0,0.0,30.04,10.1,7.0,10.4
2007-05-05,1,41.995,-87.933,66.0,53.0,60.0,38.888888888888886,38.0,49.0,5.0,0.0,0.005,30.1,11.7,7.0,12.0
2007-05-05,2,41.786,-87.752,66.0,54.0,60.0,41.66666666666666,39.0,50.0,5.0,0.0,0.005,30.09,11.2,7.0,11.5
2007-05-06,1,41.995,-87.933,68.0,49.0,59.0,19.444444444444443,30.0,46.0,6.0,0.0,0.0,30.29,14.4,11.0,15.0
2007-05-06,2,41.786,-87.752,68.0,52.0,60.0,16.666666666666657,30.0,46.0,5.0,0.0,0.0,30.28,13.8,10.0,14.5
2007-05-07,1,41.995,-87.933,83.0,47.0,65.0,33.333333333333314,41.0,54.0,0.0,0.0,0.005,30.12,8.6,18.0,10.5
2007-05-07,2,41.786,-87.752,84.0,50.0,67.0,22.222222222222214,39.0,53.0,0.0,2.0,0.0,30.12,8.5,17.0,9.9
2007-05-08,1,41.995,-87.933,82.0,54.0,68.0,72.22222222222223,58.0,62.0,0.0,3.0,0.0,30.03,2.7,11.0,5.8
2007-05-08,2,41.786,-87.752,80.0,60.0,70.0,63.88888888888889,57.0,63.0,0.0,5.0,0.005,30.02,2.5,8.0,5.4
2007-05-09,1,41.995,-87.933,77.0,61.0,69.0,72.22222222222221,59.0,63.0,0.0,4.0,0.13,29.94,3.9,9.0,6.2
2007-05-09,2,41.786,-87.752,76.0,63.0,70.0,72.22222222222223,60.0,63.0,0.0,5.0,0.02,29.93,3.9,7.0,5.9
